"Data";"Semana";"High";"Low";"Medium"
"2019-09-29";39;3041;942568;28189
"2019-10-06";40;2850;745382;25192
"2019-10-13";41;2674;812441;24348
"2019-10-20";42;2864;1090944;27283
"2019-10-27";43;2753;1034758;24780
"2019-11-03";44;2561;987958;23692
"2019-11-10";45;2600;943499;24052
"2019-11-17";46;2680;1197331;26197
"2019-11-24";47;2755;1205056;27278
"2019-12-01";48;2743;1059183;26714
"2019-12-08";49;3080;960214;29500
"2019-12-15";50;2792;631218;23964
"2019-12-22";51;2404;455166;20130
"2019-12-29";52;2026;303588;15633
"2020-01-05";1;2151;390054;18191
"2020-01-12";2;2390;515132;22341
"2020-01-19";3;2534;530211;22790
"2020-01-26";4;2399;524151;21999
"2020-02-02";5;2351;426341;19750
"2020-02-09";6;2144;419093;18572
"2020-02-16";7;2313;488098;20448
"2020-02-23";8;2284;494218;19532
"2020-03-01";9;2260;445819;19695
"2020-03-08";10;2725;846185;27360
"2020-03-15";11;2566;545795;23683